run_id,structure_id,manual_group,window_start,window_end,observed_packets_in_window,observed_signal_packets_in_window,observed_packets_with_fcnt,leading_fcnt_gap_imputed_rows,internal_fcnt_gap_imputed_rows,fcnt_gap_imputed_rows,minimum_fill_rows_added,augmented_signal_packets_in_window,minimum_required_messages,imputed_rows_added,imputation_method
2026-06-25_R1183_01,R1183,1,2026-06-25 13:41:13+02:00,2026-06-25 13:41:56+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1183_01,R1183,2,2026-06-25 13:41:56+02:00,2026-06-25 13:42:59+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1183_01,R1183,3,2026-06-25 13:42:59+02:00,2026-06-25 13:43:54+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1183_01,R1183,4,2026-06-25 13:43:54+02:00,2026-06-25 13:44:35+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1183_01,R1183,5,2026-06-25 13:44:35+02:00,2026-06-25 13:45:24+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1183_01,R1183,6,2026-06-25 13:45:24+02:00,2026-06-25 13:46:17+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1183_01,R1183,7,2026-06-25 13:46:17+02:00,2026-06-25 13:47:21+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1183_01,R1183,8,2026-06-25 13:47:21+02:00,2026-06-25 13:48:21+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1183_01,R1183,9,2026-06-25 13:48:21+02:00,2026-06-25 13:49:13+02:00,5,5,5,1,1,2,0,7,5,2,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1183_01,R1183,10,2026-06-25 13:49:13+02:00,2026-06-25 13:50:08+02:00,5,5,5,0,4,4,0,9,5,4,missing_fcnt_gap
2026-06-25_R1183_01,R1183,11,2026-06-25 13:50:08+02:00,2026-06-25 13:50:44+02:00,2,2,2,2,1,3,0,5,5,3,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1185_01,R1185,1,2026-06-25 11:36:25+02:00,2026-06-25 11:39:05+02:00,14,14,14,0,0,0,0,14,5,0,none
2026-06-25_R1185_01,R1185,2,2026-06-25 11:39:05+02:00,2026-06-25 11:40:15+02:00,14,14,14,0,0,0,0,14,5,0,none
2026-06-25_R1185_01,R1185,3,2026-06-25 11:40:15+02:00,2026-06-25 11:41:36+02:00,15,15,15,0,0,0,0,15,5,0,none
2026-06-25_R1185_01,R1185,4,2026-06-25 11:41:36+02:00,2026-06-25 11:42:50+02:00,13,13,13,0,0,0,0,13,5,0,none
2026-06-25_R1185_01,R1185,5,2026-06-25 11:42:50+02:00,2026-06-25 11:43:50+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1185_01,R1185,6,2026-06-25 11:43:50+02:00,2026-06-25 11:45:00+02:00,13,13,13,0,0,0,0,13,5,0,none
2026-06-25_R1185_01,R1185,7,2026-06-25 11:45:00+02:00,2026-06-25 11:46:05+02:00,5,5,5,0,6,6,0,11,5,6,missing_fcnt_gap
2026-06-25_R1185_01,R1185,8,2026-06-25 11:46:05+02:00,2026-06-25 11:47:10+02:00,6,6,6,0,7,7,0,13,5,7,missing_fcnt_gap
2026-06-25_R1185_01,R1185,9,2026-06-25 11:47:10+02:00,2026-06-25 11:48:30+02:00,13,13,13,0,2,2,0,15,5,2,missing_fcnt_gap
2026-06-25_R1185_01,R1185,10,2026-06-25 11:48:30+02:00,2026-06-25 11:49:35+02:00,6,6,6,1,5,6,0,12,5,6,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1185_01,R1185,11,2026-06-25 11:49:35+02:00,2026-06-25 11:50:10+02:00,3,3,3,1,1,2,0,5,5,2,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1187_01,R1187,1,2026-06-25 12:07:45+02:00,2026-06-25 12:09:20+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1187_01,R1187,2,2026-06-25 12:09:20+02:00,2026-06-25 12:10:10+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1187_01,R1187,3,2026-06-25 12:10:10+02:00,2026-06-25 12:11:30+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1187_01,R1187,4,2026-06-25 12:11:30+02:00,2026-06-25 12:12:45+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1187_01,R1187,5,2026-06-25 12:12:45+02:00,2026-06-25 12:13:40+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1187_01,R1187,6,2026-06-25 12:13:40+02:00,2026-06-25 12:14:40+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1187_01,R1187,7,2026-06-25 12:14:40+02:00,2026-06-25 12:18:35+02:00,44,44,44,0,0,0,0,44,5,0,none
2026-06-25_R1187_01,R1187,8,2026-06-25 12:18:35+02:00,2026-06-25 12:19:50+02:00,9,9,9,0,1,1,0,10,5,1,missing_fcnt_gap
2026-06-25_R1187_01,R1187,9,2026-06-25 12:19:50+02:00,2026-06-25 12:21:10+02:00,12,12,12,0,1,1,0,13,5,1,missing_fcnt_gap
2026-06-25_R1187_01,R1187,10,2026-06-25 12:21:10+02:00,2026-06-25 12:22:05+02:00,4,4,4,1,5,6,0,10,5,6,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1187_01,R1187,11,2026-06-25 12:22:05+02:00,2026-06-25 12:23:05+02:00,6,6,6,2,2,4,0,10,5,4,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1189_01,R1189,1,2026-06-25 12:34:10+02:00,2026-06-25 12:35:15+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1189_01,R1189,2,2026-06-25 12:35:15+02:00,2026-06-25 12:36:10+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1189_01,R1189,3,2026-06-25 12:36:10+02:00,2026-06-25 12:37:15+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1189_01,R1189,4,2026-06-25 12:37:15+02:00,2026-06-25 12:38:05+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1189_01,R1189,5,2026-06-25 12:38:05+02:00,2026-06-25 12:38:45+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1189_01,R1189,6,2026-06-25 12:38:45+02:00,2026-06-25 12:40:15+02:00,15,15,15,0,0,0,0,15,5,0,none
2026-06-25_R1189_01,R1189,7,2026-06-25 12:40:15+02:00,2026-06-25 12:42:30+02:00,30,30,30,0,0,0,0,30,5,0,none
2026-06-25_R1189_01,R1189,8,2026-06-25 12:42:30+02:00,2026-06-25 12:43:30+02:00,13,13,13,0,0,0,0,13,5,0,none
2026-06-25_R1189_01,R1189,9,2026-06-25 12:43:30+02:00,2026-06-25 12:44:20+02:00,5,5,5,0,5,5,0,10,5,5,missing_fcnt_gap
2026-06-25_R1189_01,R1189,10,2026-06-25 12:44:20+02:00,2026-06-25 12:45:20+02:00,5,5,5,5,1,6,0,11,5,6,leading_fcnt_gap+missing_fcnt_gap
2026-06-25_R1189_01,R1189,11,2026-06-25 12:45:20+02:00,2026-06-25 12:46:10+02:00,5,5,5,0,2,2,0,7,5,2,missing_fcnt_gap
2026-06-25_R1352_01,R1352,1,2026-06-25 12:55:50+02:00,2026-06-25 12:57:25+02:00,13,13,13,0,0,0,0,13,5,0,none
2026-06-25_R1352_01,R1352,2,2026-06-25 12:57:25+02:00,2026-06-25 12:58:25+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1352_01,R1352,3,2026-06-25 12:58:25+02:00,2026-06-25 12:59:40+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1352_01,R1352,4,2026-06-25 12:59:40+02:00,2026-06-25 13:00:45+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1352_01,R1352,5,2026-06-25 13:00:45+02:00,2026-06-25 13:01:55+02:00,13,13,13,0,0,0,0,13,5,0,none
2026-06-25_R1352_01,R1352,6,2026-06-25 13:01:55+02:00,2026-06-25 13:02:50+02:00,6,6,6,0,0,0,0,6,5,0,none
2026-06-25_R1352_01,R1352,7,2026-06-25 13:02:50+02:00,2026-06-25 13:04:55+02:00,29,29,29,0,0,0,0,29,5,0,none
2026-06-25_R1352_01,R1352,8,2026-06-25 13:04:55+02:00,2026-06-25 13:05:45+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1352_01,R1352,9,2026-06-25 13:05:45+02:00,2026-06-25 13:06:20+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1352_01,R1352,10,2026-06-25 13:06:20+02:00,2026-06-25 13:07:55+02:00,11,11,11,0,4,4,0,15,5,4,missing_fcnt_gap
2026-06-25_R1352_01,R1352,11,2026-06-25 13:07:55+02:00,2026-06-25 13:08:50+02:00,2,2,2,4,0,4,0,6,5,4,leading_fcnt_gap
2026-06-25_R1354_01,R1354,1,2026-06-25 10:33:58+02:00,2026-06-25 10:38:30+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1354_01,R1354,2,2026-06-25 10:38:30+02:00,2026-06-25 10:39:50+02:00,13,13,13,0,0,0,0,13,5,0,none
2026-06-25_R1354_01,R1354,3,2026-06-25 10:39:50+02:00,2026-06-25 10:41:15+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1354_01,R1354,4,2026-06-25 10:41:15+02:00,2026-06-25 10:42:25+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1354_01,R1354,5,2026-06-25 10:42:25+02:00,2026-06-25 10:43:30+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1354_01,R1354,6,2026-06-25 10:43:30+02:00,2026-06-25 10:44:30+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1354_01,R1354,7,2026-06-25 10:44:30+02:00,2026-06-25 10:45:35+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1354_01,R1354,8,2026-06-25 10:45:35+02:00,2026-06-25 10:46:40+02:00,9,9,9,0,1,1,0,10,5,1,missing_fcnt_gap
2026-06-25_R1354_01,R1354,9,2026-06-25 10:46:40+02:00,2026-06-25 10:47:40+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1354_01,R1354,10,2026-06-25 10:47:40+02:00,2026-06-25 10:48:40+02:00,9,9,9,0,1,1,0,10,5,1,missing_fcnt_gap
2026-06-25_R1356_01,R1356,1,2026-06-25 11:06:55+02:00,2026-06-25 11:09:35+02:00,16,16,16,0,0,0,0,16,5,0,none
2026-06-25_R1356_01,R1356,2,2026-06-25 11:09:35+02:00,2026-06-25 11:10:50+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1356_01,R1356,3,2026-06-25 11:10:50+02:00,2026-06-25 11:11:58+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1356_01,R1356,4,2026-06-25 11:11:58+02:00,2026-06-25 11:12:50+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1356_01,R1356,5,2026-06-25 11:12:50+02:00,2026-06-25 11:13:50+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1356_01,R1356,6,2026-06-25 11:13:50+02:00,2026-06-25 11:14:55+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1356_01,R1356,7,2026-06-25 11:14:55+02:00,2026-06-25 11:15:55+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1356_01,R1356,8,2026-06-25 11:15:55+02:00,2026-06-25 11:17:20+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1356_01,R1356,9,2026-06-25 11:17:20+02:00,2026-06-25 11:18:15+02:00,7,7,7,0,0,0,0,7,5,0,none
2026-06-25_R1356_01,R1356,10,2026-06-25 11:18:15+02:00,2026-06-25 11:19:10+02:00,5,5,5,0,1,1,0,6,5,1,missing_fcnt_gap
2026-06-25_R1356_01,R1356,11,2026-06-25 11:19:10+02:00,2026-06-25 11:20:30+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1358_01,R1358,1,2026-06-25 13:19:45+02:00,2026-06-25 13:20:38+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1358_01,R1358,2,2026-06-25 13:20:38+02:00,2026-06-25 13:21:35+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1358_01,R1358,3,2026-06-25 13:21:35+02:00,2026-06-25 13:22:28+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1358_01,R1358,4,2026-06-25 13:22:28+02:00,2026-06-25 13:23:32+02:00,14,14,14,0,0,0,0,14,5,0,none
2026-06-25_R1358_01,R1358,5,2026-06-25 13:23:32+02:00,2026-06-25 13:24:15+02:00,8,8,8,0,0,0,0,8,5,0,none
2026-06-25_R1358_01,R1358,6,2026-06-25 13:24:15+02:00,2026-06-25 13:25:18+02:00,15,15,15,0,0,0,0,15,5,0,none
2026-06-25_R1358_01,R1358,7,2026-06-25 13:25:18+02:00,2026-06-25 13:26:03+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1358_01,R1358,8,2026-06-25 13:26:03+02:00,2026-06-25 13:27:05+02:00,12,12,12,0,1,1,0,13,5,1,missing_fcnt_gap
2026-06-25_R1358_01,R1358,9,2026-06-25 13:27:05+02:00,2026-06-25 13:27:55+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1358_01,R1358,10,2026-06-25 13:27:55+02:00,2026-06-25 13:29:12+02:00,8,8,8,0,2,2,0,10,5,2,missing_fcnt_gap
2026-06-25_R1358_01,R1358,11,2026-06-25 13:29:12+02:00,2026-06-25 13:29:56+02:00,6,6,6,0,3,3,0,9,5,3,missing_fcnt_gap
2026-06-25_R1360_01,R1360,1,2026-06-25 14:03:56+02:00,2026-06-25 14:05:47+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1360_01,R1360,2,2026-06-25 14:05:47+02:00,2026-06-25 14:06:53+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-25_R1360_01,R1360,3,2026-06-25 14:06:53+02:00,2026-06-25 14:07:53+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1360_01,R1360,4,2026-06-25 14:07:53+02:00,2026-06-25 14:08:58+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1360_01,R1360,5,2026-06-25 14:08:58+02:00,2026-06-25 14:09:58+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1360_01,R1360,6,2026-06-25 14:09:58+02:00,2026-06-25 14:10:48+02:00,9,9,9,0,0,0,0,9,5,0,none
2026-06-25_R1360_01,R1360,7,2026-06-25 14:10:48+02:00,2026-06-25 14:11:53+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1360_01,R1360,8,2026-06-25 14:11:53+02:00,2026-06-25 14:12:53+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1360_01,R1360,9,2026-06-25 14:12:53+02:00,2026-06-25 14:13:53+02:00,11,11,11,0,0,0,0,11,5,0,none
2026-06-25_R1360_01,R1360,10,2026-06-25 14:13:53+02:00,2026-06-25 14:15:03+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-25_R1360_01,R1360,11,2026-06-25 14:15:03+02:00,2026-06-25 14:15:53+02:00,7,7,7,0,2,2,0,9,5,2,missing_fcnt_gap
2026-06-29_R1181_01,R1181,1,2026-06-29 15:03:20+02:00,2026-06-29 15:03:55+02:00,16,16,16,0,0,0,0,16,5,0,none
2026-06-29_R1181_01,R1181,2,2026-06-29 15:03:55+02:00,2026-06-29 15:04:25+02:00,10,10,10,0,0,0,0,10,5,0,none
2026-06-29_R1181_01,R1181,3,2026-06-29 15:04:25+02:00,2026-06-29 15:04:50+02:00,12,12,12,0,0,0,0,12,5,0,none
2026-06-29_R1181_01,R1181,4,2026-06-29 15:04:50+02:00,2026-06-29 15:05:25+02:00,16,16,16,0,0,0,0,16,5,0,none
2026-06-29_R1181_01,R1181,5,2026-06-29 15:05:25+02:00,2026-06-29 15:05:57+02:00,12,12,12,0,0,0,0,12,5,0,none
